School,Level,Access to,County,Activity Regions,Counselor Email,Dashboard Link,Inspire Email
Northeastern Wisconsin Lutheran High School (NEW Lutheran High School) ,High School,Full Service,BROWN,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999930?share=kiqRdKtJJ0,mstolp@cesa6.org
Northern Ozaukee High School,High School,Full Service,OZAUKEE,"Sheboygan, Ozaukee, Washington, Washington M7, Ozaukee M7",agremminger@nosd.edu,https://www.formstack.com/admin/submission/report/30333573?share=06TMKIVHl3,mmotiska@inspiresheboygancounty.org
Northern Ozaukee Middle School,Middle School,Full Service,OZAUKEE,"Sheboygan, Ozaukee, Washington",agremminger@nosd.edu,https://www.formstack.com/admin/submission/report/30333573?share=06TMKIVHl3,mmotiska@inspiresheboygancounty.org
Oak Creek Franklin School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878216?share=XbtnYIzkzN,inspirem7@cesa1.k12.wi.us
Oakfield High School ,High School,Full Service,FOND DU LAC,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/37000036?share=6Mc1TQo0a1,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Oconomowoc Area School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878217?share=QY6xu7VD6l,inspirem7@cesa1.k12.wi.us
Oconto Falls High School,High School,Virtual,,,michael.michalski@of-ps.org,https://www.formstack.com/admin/submission/report/36334287?share=hPBgTw7FOl,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Oconto High School,High School,Virtual,,,rex.wachtel@oconto.k12.wi.us ,https://www.formstack.com/admin/submission/report/36334264?share=L3SMDInVm2,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Omro High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333574?share=dRaYUvMy2r,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Omro Middle School,Middle School,Virtual,WINNEBAGO,,,https://www.formstack.com/admin/submission/report/30333574?share=dRaYUvMy2r,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Oostburg High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",maggie.stielow@oostburg.k12.wi.us,https://www.formstack.com/admin/submission/report/30333586?share=GYxcek4ef9,mmotiska@inspiresheboygancounty.org
Oostburg Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",,https://www.formstack.com/admin/submission/report/30333586?share=GYxcek4ef9,mmotiska@inspiresheboygancounty.org
Other,"High School, Middle School, College/Post-Secondary",Virtual,,,,,mmotiska@inspiresheboygancounty.org
Pacelli Catholic High School,High School,Full Service,PORTAGE,"Marathon, Portage, Waupaca","ltheiss@pacellicatholicschools.com, kauer@pacellicatholicschools.com",https://www.formstack.com/admin/submission/report/42896765?share=EhJ2RoTAQW,inspire@waupacaareachamber.com
Peshtigo High School,High School,Virtual,,,fishere@peshtigo.k12.wi.us,https://www.formstack.com/admin/submission/report/36334299?share=esTTRciLe1,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Pewaukee School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878218?share=8FzbXHU3FW,inspirem7@cesa1.k12.wi.us
Plymouth High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333588?share=8PmOkWWKEr,mmotiska@inspiresheboygancounty.org
Port Washington High School,High School,Full Service,OZAUKEE,"Sheboygan, Ozaukee, Washington, Washington M7, Ozaukee M7","diana.pasten@pwssd.k12.wi.us,jacob.mason@pwssd.k12.wi.us ",https://www.formstack.com/admin/submission/report/30333589?share=Ao2xY9pNR3,mmotiska@inspiresheboygancounty.org
Racine School District,"High School, Middle School",M7-Educator,Racine,Racine,,https://www.formstack.com/admin/submission/report/43878219?share=Qbj4NdkA1q,inspirem7@cesa1.k12.wi.us
Random Lake High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee, Washington",jfrias@rladvantage.org,https://www.formstack.com/admin/submission/report/30333612?share=T2I9rNezqX,mmotiska@inspiresheboygancounty.org
Random Lake Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee, Washington",progers@rladvantage.org,https://www.formstack.com/admin/submission/report/30333612?share=T2I9rNezqX,mmotiska@inspiresheboygancounty.org
Rhinelander High School,High School,Full Service,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",allenale@rhinelander.k12.wi.us,https://www.formstack.com/admin/submission/report/30333244?share=sXVIS7YHun,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Richmond School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878220?share=PWvazhOouH,inspirem7@cesa1.k12.wi.us
Ripon High School,High School,Full Service,Fond du Lac,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/37000081?share=NxvJ7Z8wLN,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
River View Middle School - Kaukauna,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333278?share=4WCd3VHbVH,"cpavelski@cesa6.org, mstolp@cesa6.org"
Riverview Middle School - Plymouth,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Calumet",,https://www.formstack.com/admin/submission/report/30333588?share=8PmOkWWKEr,mmotiska@inspiresheboygancounty.org
Roncalli High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333636?share=l0sa3N9zwg,"jschwoerer@cesa6.org, mstolp@cesa6.org"
Rosendale-Brandon (Laconia High School),High School,Full Service,FOND DU LAC,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/37000093?share=7rZDgHTZ7l,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Saint Francis School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878221?share=lXu6fxp6ij,inspirem7@cesa1.k12.wi.us
"Seeds of Health, Inc","High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878233?share=y6Iwtn7XtO,inspirem7@cesa1.k12.wi.us
Seymour High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36334086?share=kuYKOrjbTL,"cpavelski@cesa6.org, mstolp@cesa6.org"
Seymour Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/36334086?share=kuYKOrjbTL,"cpavelski@cesa6.org, mstolp@cesa6.org"
Sheboygan Christian,High School,Full Service,SHEBOYGAN,Sheboygan,jenna.ege@sheboyganchristian.com,https://www.formstack.com/admin/submission/report/30333637?share=KPVr3lBF37,mmotiska@inspiresheboygancounty.org
Sheboygan Falls High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333660?share=XjVJl0OExM,mmotiska@inspiresheboygancounty.org
Sheboygan Falls Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333660?share=XjVJl0OExM,mmotiska@inspiresheboygancounty.org
Sheboygan Leadership Academy,Middle School,Full Service,SHEBOYGAN,Sheboygan,,,mmotiska@inspiresheboygancounty.org
Sheboygan North High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333661?share=hkAgMhjk8v,mmotiska@inspiresheboygancounty.org
Sheboygan South High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333662?share=V0nCo8nw7F,mmotiska@inspiresheboygancounty.org
Shorewood School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878234?share=LJ5MXx0glX,inspirem7@cesa1.k12.wi.us
Slinger School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,https://www.formstack.com/admin/submission/report/43878235?share=TkThBJOYZV,inspirem7@cesa1.k12.wi.us
South Milwaukee School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878247?share=guIVqPyvGY,inspirem7@cesa1.k12.wi.us
St. John the Baptist - Plymouth,Middle School,Full Service,SHEBOYGAN,Sheboygan,mcalkins@sjbplymouth.org,https://www.formstack.com/admin/submission/report/39829738?share=h6205AOpO1,mmotiska@inspiresheboygancounty.org
St. Lawrence Seminary High School,High School,Full Service,FOND DU LAC ,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",mstielow@stlawrence.edu,https://www.formstack.com/admin/submission/report/38442452?share=q0t2XHoEt3,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Stockbridge High School,High School,Full Service,CALUMET,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333721?share=VvE9bO3qE6,"mstolp@cesa6.org, cpavelski@cesa6.org"
Stockbridge Middle School,Middle School,Virtual,CALUMET,,,https://www.formstack.com/admin/submission/report/30333721?share=VvE9bO3qE6,"mstolp@cesa6.org, cpavelski@cesa6.org"
Stone Bank School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878248?share=wjz6Vl8sfH,inspirem7@cesa1.k12.wi.us
Suring High School,High School,Virtual,,,brigkr@suringk12.org,https://www.formstack.com/admin/submission/report/36334311?share=4quhm1tHWI,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Swallow School District,Middle School,M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878260?share=xfp2hSUWi1,inspirem7@cesa1.k12.wi.us
Test High School,High School,Full Service,CALUMET,"Calumet, Dodge, Fond Du Lac, Green Lake, Langlade, Lincoln, Marathon, Manitowoc, Oneida, Outagamie, Ozaukee, Portage, Shawano, Sheboygan, Taylor, Vilas, Washington, Waupaca, Waushara, Winnebago",cboutelle@inspiresheboygancounty.org,,cboutelle@inspiresheboygancounty.org
Test Middle School,Middle School,Full Service,CALUMET,"Calumet, Dodge, Fond Du Lac, Green Lake, Langlade, Lincoln, Marathon, Manitowoc, Oneida, Outagamie, Ozaukee, Portage, Shawano, Sheboygan, Taylor, Vilas, Washington, Waupaca, Waushara, Winnebago",,,
Three Lakes High School,High School,Full Service ,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",rbock@threelakessd.k12.wi.us,https://www.formstack.com/admin/submission/report/36334334?share=2IpkkTUaqU,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Three Lakes Jr High,Middle School,Full Service ,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",rbock@threelakessd.k12.wi.us,https://www.formstack.com/admin/submission/report/36334334?share=2IpkkTUaqU,"bholbrook@cesa9.org, vbrooks@cesa9.org"
TJ Middle School - Port Washington,Middle School,Full Service,OZAUKEE,"Sheboygan, Ozaukee",,https://www.formstack.com/admin/submission/report/30333589?share=Ao2xY9pNR3,mmotiska@inspiresheboygancounty.org
Two Rivers High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",lisa.klein@trschools.k12.wi.us,https://www.formstack.com/admin/submission/report/30333338?share=Tu71tjF1e1,"jschwoerer@cesa6.org, mstolp@cesa6.org"
Union Grove UHS School District,"High School, Middle School",M7-Educator,Racine,Racine,,https://www.formstack.com/admin/submission/report/43878261?share=udVUtZ93LC,inspirem7@cesa1.k12.wi.us
University of Wisconsin - Green Bay,College/Post-Secondary,Full Service,BROWN,"Brown, Calumet, Manitowoc, Marinette, Outagamie, Shawano, Sheboygan, Winnebago",,https://www.formstack.com/admin/submission/report/43498655?share=J5cPxwJ12S,mmotiska@inspiresheboygancounty.org
Urban Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@inspiresheboygancounty.org
UWGB - Manitowoc,College/Post-Secondary,Full Service,MANITOWOC,"Brown, Outagamie, Sheboygan, Manitowoc, Ozaukee, Calumet, Fond du Lac, Ozaukee",,https://www.formstack.com/admin/submission/report/43498619?share=XUkNSjWbDW,mmotiska@inspiresheboygancounty.org
UWGB - Marinette,College/Post-Secondary,Full Service,MARINETTE,"Brown, Calumet, Manitowoc, Marinette, Outagamie, Shawano",,https://www.formstack.com/admin/submission/report/43498632?share=BjF8i1B2oR,mmotiska@inspiresheboygancounty.org
UWGB - Sheboygan,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Ozaukee, Calumet",,https://www.formstack.com/admin/submission/report/30333744?share=2amDRjPTFl,mmotiska@inspiresheboygancounty.org
Valders High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",jmcculley@valders.k12.wi.us,https://www.formstack.com/admin/submission/report/30333746?share=SZIzql6zzu,mstolp@cesa6.org
Valders Middle School,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333746?share=SZIzql6zzu,mstolp@cesa6.org
Wabeno High School,High School,Virtual,,,mrocole@wabeno.k12.wi.us,https://www.formstack.com/admin/submission/report/36334369?share=friBjucXpl,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Washington Middle School - Manitowoc,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,mstolp@cesa6.org
Waterford UHS School District,"High School, Middle School",M7-Educator,Racine,Racine,,https://www.formstack.com/admin/submission/report/43878339?share=FY1gFcfXfJ,inspirem7@cesa1.k12.wi.us
Waukesha School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,https://www.formstack.com/admin/submission/report/43878351?share=pchHhXbemS,inspirem7@cesa1.k12.wi.us
Waupaca High School,High School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage",jkosobucki@waupacaschools.org,https://www.formstack.com/admin/submission/report/37080003?share=gbo4zr4ezq,Inspire@waupacaareachamber.com
Waupaca Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","dbiba@waupacaschools.org,jkosobucki@waupacaschools.org,sthomaschefsky@waupacaschools.org",https://www.formstack.com/admin/submission/report/37080003?share=gbo4zr4ezq,Inspire@waupacaareachamber.com
Waupun High School ,High School,Full Service,DODGE,"Brown, Calumet, Columbia, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/37000106?share=mMZ0FaDx64,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Wausau East High School,High School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Wausau West High School,High School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org"
Wautoma High School,High School,Full Service,WAUSHARA,"Waushara, Waupaca, Green Lake, Portage","marshallzoellnerb@wautoma.k12.wi.us, kruegerb@wautoma.k12.wi.us",https://www.formstack.com/admin/submission/report/43014365?share=5MunrDG6Hm,Inspire@waupacaareachamber.com
Wautoma Middle School,Middle School,Full Service,WAUSHARA,"Waushara, Waupaca, Green Lake, Portage",steltert@wautoma.k12.wi.us,https://www.formstack.com/admin/submission/report/43014365?share=5MunrDG6Hm,Inspire@waupacaareachamber.com
Wauwatosa School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878351?share=pchHhXbemS,inspirem7@cesa1.k12.wi.us
West Allis School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878353?share=u7LWWtJr7q,inspirem7@cesa1.k12.wi.us
West Bend School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,https://www.formstack.com/admin/submission/report/43878376?share=89qUezO4aY,inspirem7@cesa1.k12.wi.us
Weyauwega-Fremont High School,High School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","jalix@wfsd.k12.wi.us,cpeterson@wfsd.k12.wi.us,jgardner@wfsd.k12.wi.us",https://www.formstack.com/admin/submission/report/38322065?share=F9TKyk35pZ,Inspire@waupacaareachamber.com
Weyauwega-Fremont Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","jalix@wfsd.k12.wi.us,cpeterson@wfsd.k12.wi.us,jgardner@wfsd.k12.wi.us",https://www.formstack.com/admin/submission/report/38322065?share=F9TKyk35pZ,Inspire@waupacaareachamber.com
Whitefish Bay School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878388?share=MXz5DxYDTO,inspirem7@cesa1.k12.wi.us
Whitewater Unified district,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878389?share=9xLO5U4CvM,inspirem7@cesa1.k12.wi.us
Whitnall School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,https://www.formstack.com/admin/submission/report/43878401?share=SLPmcj10fU,inspirem7@cesa1.k12.wi.us
Wild Rose Middle/High School,"High School, Middle School",Full Service,WAUSHARA,"Green Lake, Outagamie, Portage, Waupaca, Waushara, Winnebago","ramichb@wildroseschools.org, clarkd@wildroseschools.org",https://www.formstack.com/admin/submission/report/42722037?share=MCTFGypYtI,inspire@waupacaareachamber.com
Williams Bay School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,https://www.formstack.com/admin/submission/report/43878414?share=JcQPgBvcaH,inspirem7@cesa1.k12.wi.us
Wilmot UHS School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,https://www.formstack.com/admin/submission/report/43878415?share=p3gurAwUZ1,inspirem7@cesa1.k12.wi.us
Wilson Middle School - Manitowoc,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,mstolp@cesa6.org
Winnebago Lutheran Academy,High School,Full Service,FOND DU LAC,"Calumet, Dodge, Fond du Lac, Green Lake, Sheboygan, Winnebago",,https://www.formstack.com/admin/submission/report/42896766?share=UgkQDfHq3Z,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Winneconne High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Dodge, Fond Du Lac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",larsona@w-csd.org,https://www.formstack.com/admin/submission/report/30333784?share=qYcvWoiWn9,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
Winneconne Middle School,Middle School,Virtual,WINNEBAGO,,larsona@w-csd.org,https://www.formstack.com/admin/submission/report/30333784?share=qYcvWoiWn9,"mstolp@cesa6.org, rdroesslermersch@cesa6.org"
